model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3-1.7B,KB,KB,with_cot,25,0.002209949751159357,0.3626527905649196,-0.1799102478769931,0.18096365931642902
Qwen3-1.7B,RB,RP,no_cot,25,-1.0368786342437675,1.3812727718120061,-1.6513846731922364,-0.45773258284833634
Qwen3-1.7B,RB,RB,no_cot,25,-0.8656807785118993,1.1578226451958593,-1.4140397132811033,-0.3638798267226097
Qwen3-1.7B,RB,RD,no_cot,25,-1.478485165515232,1.7365676741587004,-2.1494468476005504,-0.8454131537916754
Qwen3-1.7B,RB,RP,with_cot,25,-0.742782219354013,1.017181460207033,-1.1786807878304637,-0.32109378181348097
Qwen3-1.7B,RB,RB,with_cot,25,-0.582956265230467,0.9687292398039802,-1.0183403641884894,-0.14218879019960576
Qwen3-1.7B,RB,RD,with_cot,25,-0.9326839313839954,1.6884454142752354,-1.64696445584687,-0.20455978283272375
Qwen3-1.7B,Hybrid,CP,no_cot,25,0.03321242926508262,0.9731810516887502,-0.6392749859622344,0.6149357023476639
Qwen3-1.7B,Hybrid,CB,no_cot,25,-0.4987699963441275,0.9748400821002554,-1.125094797995564,0.028358913251796125
Qwen3-1.7B,Hybrid,CB-control,no_cot,25,-0.8230524558043166,1.050641386738515,-1.3792846749253846,-0.2977424700878792
Qwen3-1.7B,Hybrid,CD,no_cot,25,-0.6881642495839947,0.9423006868275428,-1.3799984284514317,-0.13283568044595226
Qwen3-1.7B,Hybrid,CP,with_cot,25,0.03831739299070456,1.120333940026014,-0.6687630022492695,0.7254361327644919
Qwen3-1.7B,Hybrid,CB,with_cot,25,-0.5701889752939653,1.075463851404842,-1.1442230776109354,-0.026349797015200068
Qwen3-1.7B,Hybrid,CB-control,with_cot,25,-0.6861549943501402,1.0659846288468495,-1.2371426174261215,-0.17798994028809828
Qwen3-1.7B,Hybrid,CD,with_cot,25,-0.7028622199297629,1.1070204597471456,-1.3503340068210345,-0.12737865689034464
Qwen3-4B-Base,KB,KP,no_cot,25,0.24056513908637375,0.5539539825979155,-0.04131172119976839,0.5203626335628776
Qwen3-4B-Base,KB,KD,no_cot,25,0.7988525817353014,1.1369609223744788,0.33446912748173563,1.2587268442138406
Qwen3-4B-Base,KB,KB,no_cot,25,0.45327083041558835,0.8405075915683328,0.09960191471334322,0.7738092603658426
Qwen3-4B-Base,KB,KP,with_cot,25,-0.4923509736409691,0.6929444589527044,-0.8245118252986599,-0.18945032796033684
Qwen3-4B-Base,KB,KD,with_cot,25,-0.4250152603865967,0.7331301880460288,-0.8014587544939094,-0.0633891538771936
Qwen3-4B-Base,KB,KB,with_cot,25,-0.24620998697145285,0.6463419126387785,-0.8419613329558965,0.18818476398528058
