model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen2.5-7B-Instruct,PARA,FMT,bits_per_byte,0.2,0.0012331291293260493,0.011551720714045421,0.0047486438556018085,0.004375214969530528
Qwen/Qwen2.5-7B-Instruct,PARA,FMT,mean_per_item_nll,0.2,0.0036782726995208126,0.018985832378839662,0.008743941356875284,0.00822351558071377
Qwen/Qwen2.5-7B-Instruct,PARA,PARA,bits_per_byte,0.2,0.01199950951890627,0.0019724223654640216,0.031446409483422366,0.03228613823701476
Qwen/Qwen2.5-7B-Instruct,PARA,PARA,mean_per_item_nll,0.2,0.022693056649930377,0.0026588547887960168,0.05924546288463306,0.06080432501797706
Qwen/Qwen3-0.6B,ANS,ANS,bits_per_byte,0.2,0.022490161700675415,0.03178515233917911,0.002505587141796717,0.0016885661603606161
Qwen/Qwen3-0.6B,ANS,ANS,mean_per_item_nll,0.2,0.097431201082252,0.1376986795473143,0.010854629143647543,0.0073151554577690625
Qwen/Qwen3-0.6B,ANS,Clean,bits_per_byte,0.2,0.0007574144775990277,0.003003840248628542,0.0016356463315809755,0.0016343511572256553
Qwen/Qwen3-0.6B,ANS,Clean,mean_per_item_nll,0.2,0.0016222811209387622,0.0058855535951094495,0.003179716341292327,0.0031769721866377054
Qwen/Qwen3-0.6B,ANS,EVD,bits_per_byte,0.2,0.0023466538527359138,0.0010697583690475465,0.000804643259254334,0.0008006744922821607
Qwen/Qwen3-0.6B,ANS,EVD,mean_per_item_nll,0.2,0.004248997562795509,0.0016631789666461394,0.001439977849858387,0.0014331225583346097
Qwen/Qwen3-0.6B,ANS,FMT,bits_per_byte,0.2,0.0011449276138101316,0.00016722917507283608,0.001927718835902148,0.0019168814263356149
Qwen/Qwen3-0.6B,ANS,FMT,mean_per_item_nll,0.2,0.0024582985096981425,0.00040250674118458285,0.003272746869495302,0.0032498711131252467
Qwen/Qwen3-0.6B,ANS,PARA,bits_per_byte,0.2,0.002491285848055247,0.00049156219534785,0.001412393473986695,0.0014129462422494132
