stage,domain,model,arm,seed,group,metric,value,checkpoint_sha256,source
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,EVD,nll,3.0696349737976396,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,EVD,bpb,1.6801335817761076,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,PARA,gen,0.42,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,PARA,nll,3.098838653251126,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,71,PARA,bpb,1.7013047362111078,4617ca2ed2e20add823cb891082cfc91a4fe2f2f65c992df4a280de4a7c135c1,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node5/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,Clean,gen,0.4423,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,Clean,nll,3.0518900216408817,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,Clean,bpb,1.6690891675057575,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,FMT,gen,0.0473,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,FMT,nll,1.275225056039925,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,FMT,bpb,0.7508401276921891,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,selected_recipe,72,ANS,gen,0.494,5f5cd85a3173cf303a2fe9e10339f6d94f6761c6f50a87d06105d1c211c25eb9,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-selected_recipe-s72/CALIBRATION_RESULT_BUNDLE.json
